user_id,resource_id,chapter_number,mode,goal,time_allocated,start_time,end_time,date,status,completion_percent,outcome,notes,xp_earned,notes_file
1,1,1,watch,Understand intro,82,2025-01-01 09:00:00,2025-01-01 10:22:00,2025-01-01,completed,100,clear,,82,
1,2,2,watch,Learn deployment basics,76,2025-01-02 10:00:00,2025-01-02 11:16:00,2025-01-02,completed,90,needs_review,,68,
1,3,3,watch,Review neural nets,90,2025-01-03 14:00:00,2025-01-03 15:30:00,2025-01-03,completed,100,breakthrough,,90,
1,4,4,watch,Understand NLP lesson,94,2025-01-04 09:30:00,2025-01-04 11:04:00,2025-01-04,completed,85,confused,,80,
1,5,5,watch,Practice from-scratch,102,2025-01-05 11:00:00,2025-01-05 12:42:00,2025-01-05,completed,70,needs_review,,71,
1,6,6,watch,Revise Random Forests,102,2025-01-06 15:00:00,2025-01-06 16:42:00,2025-01-06,completed,100,clear,,102,
1,7,7,watch,Collaborative filtering basics,106,2025-01-07 09:00:00,2025-01-07 10:46:00,2025-01-07,completed,95,clear,,101,
1,8,8,watch,Understand CNNs,96,2025-01-08 10:00:00,2025-01-08 11:36:00,2025-01-08,completed,60,confused,,57,
1,28,,read,Read book intro,60,2025-01-09 18:00:00,2025-01-09 19:00:00,2025-01-09,completed,100,clear,,60,
1,29,,read,Understand production,70,2025-01-10 09:00:00,2025-01-10 10:10:00,2025-01-10,completed,80,needs_review,,56,
1,30,,read,Review ethics,45,2025-01-11 11:00:00,2025-01-11 11:45:00,2025-01-11,completed,90,clear,,40,
1,9,9,watch,Intro Stable Diffusion,135,2025-01-12 09:00:00,2025-01-12 11:15:00,2025-01-12,completed,100,clear,,135,
1,10,10,watch,Deep dive into details,109,2025-01-13 10:00:00,2025-01-13 11:49:00,2025-01-13,completed,75,needs_review,,82,
1,11,11,watch,Matrix math understanding,108,2025-01-14 14:00:00,2025-01-14 15:48:00,2025-01-14,completed,100,breakthrough,,108,
1,12,12,watch,Learn accelerators,110,2025-01-15 15:00:00,2025-01-15 16:50:00,2025-01-15,completed,80,clear,,88,
1,13,13,watch,Transformers basics,106,2025-01-16 09:00:00,2025-01-16 10:46:00,2025-01-16,completed,100,breakthrough,,106,
1,14,14,watch,RNN review,109,2025-01-17 10:00:00,2025-01-17 11:49:00,2025-01-17,completed,85,clear,,92,
1,15,15,watch,Autoencoders,97,2025-01-18 11:00:00,2025-01-18 12:37:00,2025-01-18,completed,90,clear,,87,
1,16,16,watch,Understand Learner framework,85,2025-01-19 14:00:00,2025-01-19 15:25:00,2025-01-19,completed,100,clear,,85,
1,17,17,watch,Normalization basics,116,2025-01-20 09:00:00,2025-01-20 10:56:00,2025-01-20,completed,100,clear,,116,
1,18,18,watch,Accelerated SGD,125,2025-01-21 10:00:00,2025-01-21 12:05:00,2025-01-21,completed,70,confused,,88,
1,19,19,watch,DDPM diffusion,90,2025-01-22 11:00:00,2025-01-22 12:30:00,2025-01-22,completed,95,clear,,85,
1,20,20,watch,Mixed precision training,105,2025-01-23 14:00:00,2025-01-23 15:45:00,2025-01-23,completed,100,breakthrough,,105,
1,21,21,watch,DDIM overview,115,2025-01-24 09:00:00,2025-01-24 10:55:00,2025-01-24,completed,80,needs_review,,92,
1,22,22,watch,Karras 2022 methods,86,2025-01-25 10:00:00,2025-01-25 11:26:00,2025-01-25,completed,100,clear,,86,
1,23,23,watch,Super-resolution lesson,100,2025-01-26 11:00:00,2025-01-26 12:40:00,2025-01-26,completed,90,clear,,90,
1,24,24,watch,Attention + Transformers,115,2025-01-27 14:00:00,2025-01-27 15:55:00,2025-01-27,completed,95,breakthrough,,110,
1,25,25,watch,Latent diffusion,98,2025-01-28 09:00:00,2025-01-28 10:38:00,2025-01-28,completed,100,clear,,98,
1,26,9,watch,Bonus lesson 9A,41,2025-01-29 10:00:00,2025-01-29 10:41:00,2025-01-29,completed,100,clear,,41,
1,27,9,watch,Bonus lesson 9B,51,2025-01-30 11:00:00,2025-01-30 11:51:00,2025-01-30,completed,100,clear,,51,
1,28,,read,Read book intro,60,2025-01-31 09:00:00,2025-01-31 10:00:00,2025-01-31,completed,100,clear,,60,
1,29,,read,Understand production,70,2025-02-01 10:00:00,2025-02-01 11:10:00,2025-02-01,completed,80,needs_review,,56,
1,30,,read,Review ethics,45,2025-02-02 11:00:00,2025-02-02 11:45:00,2025-02-02,completed,90,clear,,40,
