name,type,link,chapter_number,duration,details
Lesson 1 - Getting Started,video,https://www.youtube.com/watch?v=8SF_h3xF3cE&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=1,1,82,Part 1
Lesson 2 - Deployment,video,https://www.youtube.com/watch?v=F4tvM4Vb3A0&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=2,2,76,Part 1
Lesson 3 - Neural Net Foundations,video,https://www.youtube.com/watch?v=hBBOjCiFcuo&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=3,3,90,Part 1
Lesson 4 - Natural Language (NLP),video,https://www.youtube.com/watch?v=toUgBQv1BT8&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=4,4,94,Part 1
Lesson 5 - From-Scratch Model,video,https://www.youtube.com/watch?v=_rXzeWq4C6w&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=5,5,102,Part 1
Lesson 6 - Random Forests,video,https://www.youtube.com/watch?v=AdhG64NF76E&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=6,6,102,Part 1
Lesson 7 - Collaborative Filtering,video,https://www.youtube.com/watch?v=p4ZZq0736Po&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=7,7,106,Part 1
Lesson 8 - Convolutions (CNNs),video,https://www.youtube.com/watch?v=htiNBPxcXgo&list=PLfYUBJiXbdtSvpQjSnJJ_PmDQB_VyT5iU&index=8,8,96,Part 1
Lesson 9 - Stable Diffusion,video,https://www.youtube.com/watch?v=_7rMfsA24Ls&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=1,9,135,Part 2
Lesson 10 - Diving Deeper,video,https://www.youtube.com/watch?v=6StU6UtZEbU&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=2,10,109,Part 2
Lesson 11 - Matrix Multiplication,video,https://www.youtube.com/watch?v=Tf-8F5q8Xww&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=3,11,108,Part 2
Lesson 12 - Accelerating Deep Learning,video,https://www.youtube.com/watch?v=_xIzPbCgutY&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=4,12,110,Part 2
Lesson 13 - Transformers,video,https://www.youtube.com/watch?v=vGdB4eI4KBs&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=5,13,106,Part 2
Lesson 14 - RNNs,video,https://www.youtube.com/watch?v=veqj0DsZSXU&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=6,14,109,Part 2
Lesson 15 - Autoencoders,video,https://www.youtube.com/watch?v=0Hi2r4CaHvk&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=7,15,97,Part 2
Lesson 16 - Learner Framework,video,https://www.youtube.com/watch?v=9YZaYjRKuEc&list=PLfYUBJiXbdtRUvTUYpLdfHHp9a58nWVXP&index=8,16,85,Part 2
